RANK,NAME,TEAM,POS1,POS2,AGE,GP,MPG,MIN,USG,TO,FTA,FT,2PA,2P,3PA,3P,eFG,TS,PPG,RPG,TRB,APG,AST,SPG,BPG,TOPG,VI
1,Jayson Tatum,Bos,F,G,25.2,20,40,2732,29.5,12.2,137,0.876,240,0.55,164,0.323,0.524,0.585,27.2,10.5,37.7,5.3,32.4,1.1,1.1,2.8,11.5
2,Jaylen Brown,Bos,G,F,26.6,20,37.5,2405,27.9,15.3,74,0.689,252,0.56,113,0.354,0.551,0.57,22.7,5.6,28.3,3.4,26.1,1.1,0.4,3.3,8.1
3,Marcus Smart,Bos,G,,29.2,20,34,1957,19.8,16.8,65,0.8,101,0.564,122,0.361,0.552,0.592,14.9,4,18.9,5.1,20,1.3,0.3,2.3,7.9
4,Derrick White,Bos,G,,28.9,20,29.7,2319,16.5,8.9,34,0.912,74,0.581,110,0.455,0.641,0.671,13.4,3,16.3,2.1,15.5,0.6,1,0.9,5.9
5,Malcolm Brogdon,Bos,G,,30.5,19,24.9,1744,22,8.8,35,0.829,109,0.45,87,0.379,0.503,0.535,11.9,3.5,15.4,2.9,14.8,0.2,0.3,1,7.9
6,Robert Williams III,Bos,C,F,25.6,20,20.9,824,12.3,15.8,28,0.679,84,0.798,1,0,0.788,0.786,7.7,6,13.6,1,8.6,0.5,1.3,0.8,6.9
7,Al Horford,Bos,C,F,37,20,30.8,1922,10.6,7.7,4,0.75,38,0.605,94,0.298,0.492,0.497,6.7,7.2,13.8,3,9.6,1.1,1.7,0.6,6.8
8,Grant Williams,Bos,F,,24.5,15,17.7,2045,10.5,7,10,0.8,13,0.538,40,0.45,0.642,0.662,5.1,2.2,7.3,1.2,6.3,0.3,0.4,0.3,5.4
9,Payton Pritchard,Bos,G,,25.3,10,5.7,643,23.3,18.3,5,0.8,12,0.667,10,0.4,0.636,0.661,3.2,0.6,3.8,1.1,4.3,0.1,0,0.5,9
10,Luke Kornet,Bos,F,C,27.9,8,4,804,12.4,0,2,1,7,0.857,1,1,0.938,0.957,2.1,1.3,3.4,0,2.1,0,0.1,0,0
11,Sam Hauser,Bos,F,,25.5,15,6.9,1290,13,0,2,1,5,0.4,24,0.333,0.483,0.502,2,1.1,3.1,0.3,2.3,0.1,0.1,0,5
12,Mike Muscala,Bos,F,C,31.9,6,3.5,945,14.4,18.8,4,0.75,0,0,4,0.5,0.75,0.781,1.5,0.7,2.2,0.2,1.7,0,0,0.2,6.8
13,Justin Champagnie,Bos,G,F,21.9,4,2.6,34,17.2,0,0,0,1,1,3,0,0.25,0.25,0.5,0,0.5,0,0.5,0,0,0,0
14,Blake Griffin,Bos,F,,34.2,1,5.9,569,7.7,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0
